event_id,date,family,variant,service,platform,location_id,event_type,result,source_type,source_url,confidence,notes
MTI-2025-0024,2025-12-31,Pralay,Base,DRDO,Ground Launcher,LOC-UNK,User Trial,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210128&reg=3&lang=1,High,Salvo launch of two Pralay missiles in quick succession from the same launcher as part of user evaluation trials.
MTI-2025-0025,2025-09-24,Agni,Prime,SFC,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2170979&reg=3&lang=1,High,"Successful launch from a Rail based Mobile launcher system, under a full operational scenario, under SFC."
MTI-2025-0026,2025-08-20,Agni,V,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2158574&reg=3&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC."
MTI-2025-0027,2025-08-24,IADWS,Base,DRDO,Ground Launcher,LOC-004,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2160257&reg=3&lang=1,High,"Maiden flight-tests comprising all indigenous Quick Reaction Surface to Air Missiles (QRSAM), Advanced Very Short Range Air Defence System (VSHORADS) missiles and a high-power laser-based Directed Energy Weapon (DEW)."
MTI-2025-0028,2025-07-11,Astra,Mk1,DRDO,Su-30MKI,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2144118&reg=3&lang=1,High,"Flight test from Su30MKI. Local RF seeker upgrade. Fired off the coast of Odisha, near ITR."
MTI-2025-0029,2025-07-14,ET,LDHCM,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Media,https://zeenews.india.com/india/meet-india-s-mach-8-missile-et-ldhcm-hits-karachi-in-10-minutes-evades-all-defence-systems-2999131.html,Low,First flight test reported in unofficial sources.
MTI-2025-0030,2025-07-17,Prithvi-II,& Agni-I,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2145662&reg=3&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC. Note — could be a cover for an announced test. Prithvi and Agni notifications are routinely used to cover for more sensitive or experimental tests."
MTI-2025-0031,2025-07-25,ULPGM,V3,DRDO,Ground Launcher,LOC-007,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2148320&reg=3&lang=1,High,"Successful flight-trials of Unmanned Aerial Vehicle Launched Precision Guided Missile (ULPGM)-V3 at the National Open Area Range (NOAR) test range in Kurnool, Andhra Pradesh. Fired from NRT Beluga UAV."
MTI-2025-0032,2025-07-28,Pralay,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2149610&reg=3&lang=1,High,Two consecutive successful flight-tests from Dr APJ Abdul Kalam island off the coast of Odisha.
MTI-2025-0033,2025-04-03,MRSAM,Base,Indian Army,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2118918&reg=3&lang=1,High,Four successful flight-tests of the Army version against high-speed aerial targets from Dr APJ Abdul Kalam Island.
MTI-2025-0034,2025-04-25,BrahMos,Base,Indian Navy,INS Surat,LOC-UNK,Development Test,Success,None,,Medium,INS Surat test fired.
MTI-2025-0035,2025-03-12,Astra,Mk1,DRDO,Tejas LCA,LOC-UNK,Development Test,Failure,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2111068&reg=3&lang=1,Low,Successful test firing from a LCA Mk1 against aerial target. Unofficial sources mention unsuccessful trials from Tejas Mk1A.
MTI-2025-0036,2025-03-26,VL,SRSAM,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2115509&reg=3&lang=1,High,"Successful flight test from the Integrated Test Range (ITR), Chandipur at about 1200 hrs . The flight-test was carried out from a land-based vertical launcher against a high-speed aerial target at very close range and low altitude."
MTI-2025-0037,2025-02-01,VSHORADS,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2098784&reg=3&lang=1,High,"Three successive flight-trials from Integrated Test Range (ITR), Chandipur against high-speed targets flying at very low altitude."
MTI-2025-0038,2025-02-25,NASM,SR,Indian Navy,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2106482&reg=3&lang=1,High,"Successful flight-trials from Integrated Test Range (ITR), Chandipur from Indian Navy Seaking IN529."
MTI-2025-0039,2025-01-13,Nag,Mk2,DRDO,Ground Launcher,LOC-003,Induction Trial,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2092585&reg=3&lang=1,High,Field Evaluation Trials successful. Missile ready for induction. At Pokhran
MTI-2025-0040,2025-01-15,BrahMos,Base,DRDO,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Salvo launch of BrahMos supersonic cruise missiles by Kharga Crops of Western Command at Andaman & Nicobar islands.
MTI-2024-0041,2024-12-13,SFDR,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,
MTI-2024-0042,2024-11-12,LR-LACM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Maiden LR-LACM test
MTI-2024-0043,2024-11-14,Pinaka,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Guided Pinaka final tests
MTI-2024-0044,2024-11-16,LR-AShM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,"First reveal of the missile, Second Flight test"
MTI-2024-0045,2024-11-27,K4,Base,Indian Navy,INS Arighaat,LOC-UNK,Operational Launch,Success,None,,Medium,First operational launch from INS Arighaat
MTI-2024-0046,2024-10-03,VSHORADS,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,3 Successful flight tests of miniaturized version
MTI-2024-0047,2024-09-12,VLSRSAM,Base,Indian Navy,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Indian Navy flight tests
MTI-2024-0048,2024-07-24,AD1,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Phase 2 BMD interceptor test
MTI-2024-0049,2024-05-01,SMART,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Third flight test
MTI-2024-0050,2024-04-03,Agni,P,SFC,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Night trial with SFC
MTI-2024-0051,2024-04-13,MPATGM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Warhead Flight Trials
MTI-2024-0052,2024-03-11,Agni,V,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,First MIRV test
MTI-2024-0053,2024-02-28,VSHORADS,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=2010345,High,"Flight tests from a ground based portable launcher. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2024-0054,2024-01-12,Akash,NG,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1995445,High,"High speed Low altitude flight test against a target. Flight tested by DRDO. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0055,2023-12-29,Akash,Base,Indian Army,Ground Launcher,LOC-009,Training Launch,Success,OSINT,https://x.com/SWComd_IA/status/1740739358658101592?s=20,High,"User training launch. Fired by Indian Army. Fired at Gopalpur Seaward Firing Range, Odisha."
MTI-2023-0056,2023-12-17,Akash,Base,IAF,Ground Launcher,LOC-004,Development Test,Success,OSINT,https://x.com/DRDO_India/status/1736349594362278140?s=20,High,User test. Test fired against 4 target simultaneously using command guidance. Fired by Indian Air Force and DRDO.
MTI-2023-0057,2023-12-07,Agni,1,SFC,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1983750,High,"User training launch. Fired under the aegis of SFC. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0058,2023-11-08,Pralay,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Media,https://www.thehindu.com/news/national/india-successfully-test-fires-pralay-missile-off-odisha-coast/article67507783.ece,High,"Third launch test. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0059,2023-11-21,NASM-SR,Base,Indian Navy,Sea King,LOC-001,Development Test,Success,Official,https://twitter.com/indiannavy/status/1726869839657255406?t=TVSrQZk5F-Ua4mNzvFWG-w&s=19,High,"Successful guided flight trial by Indian Navy and DRDO. The missile was tested for a range of 35 km, using an indigenous IR Seeker for its Terminal Guidance in ‘Lock-on after Launch’ mode. Fired from a modified Sea King 42B IN529. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0060,2023-11-22,Brahmos,ER,Indian Navy,INS Imphal,LOC-005,Development Test,Success,OSINT,https://x.com/IN_WNC/status/1727180987065585679?s=20,High,First firing from INS Imphal. Fired by Indian Navy. Fired in Arabian Sea.
MTI-2023-0061,2023-10-18,Brahmos,ER ALCM,IAF,Ground Launcher,LOC-006,Development Test,Success,None,,Medium,ER version of ALCM. Test fired by Indian Air Force. Fired at Bay of Bengal.
MTI-2023-0062,2023-10-01,Brahmos,Base,Indian Army,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Fired by Indian Army. Fired at Andaman and Nicobar Islands.
MTI-2023-0063,2023-10-01,Brahmos,Base,Indian Army,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Fired by Indian Army. Fired at Andaman and Nicobar Islands.
MTI-2023-0064,2023-10-10,Brahmos,Base,IAF,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Surface to surface version. Test fired by Indian Air Force under the aegis of ANC. Fired at Andaman and Nicobar Islands.
MTI-2023-0065,2023-10-10,Brahmos,ER,Indian Army,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,ER version. Test fired by Indian Army. Fired at Andaman and Nicobar Islands.
MTI-2023-0066,2023-10-06,LR-AShM,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1989502,High,"First test flight. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0067,2023-08-23,Astra,Mk1,DRDO,Tejas LCA,LOC-UNK,Development Test,Success,Media,https://indianexpress.com/article/india/indigenous-astra-missile-tested-from-tejas-8906435/,High,First test flight from the LCA platform. Fired off LSP-7.
MTI-2023-0068,2023-07-01,K,15,DRDO,Ground Launcher,LOC-002,Training Launch,Success,None,,Medium,"Training launch. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0069,2023-06-01,Agni,1,SFC,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleseDetail.aspx?PRID=1929176,High,"Training launch. Fired by Strategic Forces Command. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0070,2023-06-08,Agni-P,Base,SFC,Ground Launcher,LOC-002,Induction Trial,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1930689,High,"First pre-induction night flight test by Strategic Forces Command. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0071,2023-05-14,BrahMos,Base,Indian Navy,INS Mormugao,LOC-005,Development Test,Success,OSINT,https://twitter.com/IN_WNC/status/1657593651134881792,High,Anti-ship variant fired from INS Mormugao. Fired in Arabian Sea.
MTI-2023-0072,2023-04-21,Sea-Based,Endo-Atmospheric Interceptor,Indian Navy,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1918799,High,Maiden flight test of Naval BMD capability conducted by Indian Navy with DRDO. Fired off coast of Odisha.
MTI-2023-0073,2023-03-05,BrahMos,Base,DRDO,Ground Launcher,LOC-005,Development Test,Success,Official,https://twitter.com/indiannavy/status/1632356640233254913?s=20,High,Flight test of variant with local booster and seeker. Fired in Arabian Sea by an Kolkata class destroyer.
MTI-2023-0074,2023-03-06,MRSAM,Base,Indian Navy,INS Visakhapatnam,LOC-UNK,Development Test,Success,Official,https://twitter.com/indiannavy/status/1632945232882077697?s=20,High,Operational validation flight test. Fired from INS Visakhapatnam.
MTI-2023-0075,2023-03-14,VSHORAD,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1906915,High,"Two successful flight tests conducted. Development flight tests. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0076,2023-03-26,AMOGHA,III,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,OSINT,https://twitter.com/bharat_dynamics/status/1640669737872142337,High,Successful test firing of the system.
MTI-2023-0077,2023-02-21,ITCM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,OSINT,https://twitter.com/TheHemantRout/status/1627933038255702017?s=20,High,Developmental flight test with new seeker and local Manik engine. Fired off coast of Odisha.
MTI-2023-0078,2023-02-01,SLCM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,OSINT,https://x.com/ANI/status/1725894448092197332?s=20,High,Successful first developmental flight test.
MTI-2023-0079,2023-01-10,Prithvi,II,DRDO,Ground Launcher,LOC-001,Training Launch,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1890129,High,"Training launch. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0080,2023-01-25,Akash,Base,DRDO,Ground Launcher,LOC-009,Training Launch,Success,OSINT,https://twitter.com/westerncomd_IA/status/1618431446783524865?s=20&t=cLWjg_rYBe80ohXN8i9Zgw,High,"Training launch by Western Command. Fired at Seaward Ranges, Gopalpur."
MTI-2023-0081,2023-01-27,HSTDV,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,OSINT,https://twitter.com/livefist/status/1618906728715919360?s=20&t=cLWjg_rYBe80ohXN8i9Zgw,High,"Second flight test. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2022-0082,2022-12-07,Pinaka,Base,Indian Army,Ground Launcher,LOC-003,Development Test,Success,Media,https://m.timesofindia.com/city/jaipur/drdo-army-conduct-trials-of-upgraded-pinaka-rockets/amp_articleshow/96123859.cms,High,"Mk 1 EPRS tested by DRDO and Indian Army. Tested at Pokhran ranges at Jaisalmer, Rajasthan."
MTI-2022-0083,2022-12-09,Hypersonic,Vehicle,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,OSINT,https://twitter.com/isro/status/1601162953264230400,High,"ISRO and HQ, Integrated Defence Staff conducted trials."
MTI-2022-0084,2022-12-15,Agni,5,DRDO,Ground Launcher,LOC-002,Development Test,Success,OSINT,https://twitter.com/ANI/status/1603381778198450181?s=20&t=i8ITyDh5e4rTjx9JeMduVw,High,"Full range flight test with new incorporated technologies. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2022-0085,2022-12-29,BrahMos,ALCM,DRDO,Su-30MKI,LOC-006,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1887335,High,Extended Range variant successfully fired against a ship target. Fired from a Su 30MKI. Fired in Bay of Bengal region.
MTI-2022-0086,2022-11-02,AD-1,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1873179,High,"Maiden flight test of BMD Phase II interceptor. Flight-test was carried out with participation of all BMD weapon system elements located at different geographical locations. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2022-0087,2022-11-23,Agni,3,SFC,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1878370,High,"Training launch. Fired under aegis of the Strategic Forces Command. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2022-0088,2022-11-29,BrahMos,Base,Indian Army,Ground Launcher,LOC-004,User Trial,Success,OSINT,https://twitter.com/AN_Command/status/1597571925747724288?s=20&t=-Gg3NadYRRd3RqQb67Uwug,High,"Surface to surface ER version fired under the aegis of ANC, by Western Command Indian Army, as part of user validation of in-service missile. Fired at Andaman and Nicobar Islands."
MTI-2022-0089,2022-10-14,K-15,SLBM,Indian Navy,INS Arihant,LOC-006,Training Launch,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1867778,High,Training launch. Fired from INS Arihant. Fired in Bay of Bengal.
MTI-2022-0090,2022-10-18,Pinaka,Mk1 Enhanced,DRDO,Ground Launcher,LOC-010,Development Test,Success,OSINT,https://twitter.com/GmOfaj/status/1582706162004549634,High,"Test fired as part of High Altitude Area PSQR Validation Trials. Fired at KNF Firing Ranges at Dras, Ladakh."
MTI-2022-0091,2022-10-21,Agni-P,Base,DRDO,Ground Launcher,LOC-001,Technology Demonstration,Success,OSINT,https://twitter.com/ANI/status/1583380106034049024?s=20&t=libDp1GWId4iKVq77hwCHQ,High,"Third flight test. Flight tested at maximum range. Successful MIRV technology demonstrated. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0092,2022-10-28,ITCM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Failure,Media,https://www.newindianexpress.com/states/odisha/2022/oct/29/homegrown-cruise-missile-system-hit-by-technical-snag-2512880.html,High,Flight test unsuccessful after indigenous STFE failed to start after launch.
MTI-2022-0093,2022-09-08,QRSAM,Base,Indian Army,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1857724,High,"Evaluation trials by Indian Army. Six flight tests successfully conducted under various conditions in final deployment configuration. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0094,2022-09-27,VSHORAD,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1862617,High,"Maiden flight tests. Two successful flight test from a ground based portable launcher. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0095,2022-08-04,SAMHO,Base,Indian Army,Arjun MBT,LOC-008,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1848497,High,"Flight tested at two ranges. Fired in conjunction with Indian Army. Successfully test fired from Arjun MBT. Fired at KK Ranges at Ahmednagar, Maharashtra ."
MTI-2022-0096,2022-08-23,VL-SRSAM,Base,Indian Navy,INS Rana,LOC-001,Technology Demonstration,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1853841,High,"Flight test from a modified Indian Naval Ship, INS Rana against a high speed unmanned aerial target for demonstration of vertical launch capability. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0097,2022-06-06,Agni,4,SFC,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1831654,High,"Training launch. Fired under aegis of the Strategic Forces Command. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2022-0098,2022-06-15,Prithvi,II,DRDO,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1834376,High,"Training launch. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2022-0099,2022-06-24,VL-SRSAM,Base,Indian Navy,INS Rana,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1836721,High,"Flight test from a modified Indian Naval Ship, INS Rana. Fired at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0100,2022-06-28,SAMHO,Base,DRDO,Arjun MBT,LOC-008,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1837753,High,"Minimum range flight test. Successfully test fired from Arjun MBT. Fired at KK Ranges at Ahmednagar, Maharashtra ."
MTI-2022-0101,2022-05-12,BrahMos,ALCM,DRDO,Su-30MKI,LOC-006,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1824795,High,Extended Range variant fired from a Su 30MKI. Fired in Bay of Bengal region.
MTI-2022-0102,2022-05-18,NASM-SR,Base,DRDO,Sea King,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1826257,High,"Fired from a modified Sea King helicopter IN529. Maiden Flight Test at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0103,2022-04-08,SFDR,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1814813,High,"Fourth test. Booster tested at Integrated Test Range, Chandipur, Odisha."
MTI-2022-0104,2022-04-09,Pinaka,Base,DRDO,Ground Launcher,LOC-003,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1815236,High,"Mk1 EPRS and Area Denial Munition, at Pokhran ranges at Jaisalmer, Rajasthan."
MTI-2022-0105,2022-04-11,HELINA,Base,DRDO,Ground Launcher,LOC-010,User Trial,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1815644,High,"High Altitude trials for User Validation, at Ladakh ."
MTI-2022-0106,2022-04-19,BrahMos,ALCM,Indian Navy,Su-30MKI,LOC-006,Development Test,Success,Official,https://twitter.com/IAF_MCC/status/1516404584784138241?s=20&t=eaPJF-ppXJwa4r2anPKbAg,High,Live firing from a Su 30MKI on a decommissioned Indian Navy ship in coordination with Indian Navy. Fired at Eastern seaboard.
